tweet_id,date,location,bounding_box,lang,text,important_tweet,emoji,hastag
1327960528887668736,Sun Nov 15 13:03:57 +0000 2020,"Vesoul, Franche-Comté",empty,fr,savoir mesures protéger entreprises salariés,1,📲,
1327960536596832261,Sun Nov 15 13:03:58 +0000 2020,"Jura, Franche-Comté",empty,fr,chantait johnny « il suffira d’une étincelle... »,1,,
1327960536970125312,Sun Nov 15 13:03:58 +0000 2020,"Ile-de-France, France",empty,fr,irez-vous faire vacciner,1,,vaccin covid19 sondage
1327960538886836226,Sun Nov 15 13:03:59 +0000 2020,,empty,fr,« prières rue » interdites qu’aux musulmans enfaite,1,,
1327960541810352130,Sun Nov 15 13:04:00 +0000 2020,"Ile-de-France, France",empty,fr,t-il vraiment efficace,1,,vaccin covid19 sondage
1327960544595357699,Sun Nov 15 13:04:00 +0000 2020,"Ile-de-France, France",empty,fr,pensez-vous virus vaccination,1,,vaccin covid19 sondage
1327960565868793857,Sun Nov 15 13:04:05 +0000 2020,Corse,empty,fr,monde asile psychiatrique ciel hystérie merdiatique auto…,1,🤯,
1327960567886323713,Sun Nov 15 13:04:06 +0000 2020,,empty,fr,prières rue interdit,1,,
1327960578586005506,Sun Nov 15 13:04:08 +0000 2020,,empty,fr,30€ bonus patient déclaré debunk debunk,1,,covid19 holdupstoplapeur hold covid
1327335245549613058,Fri Nov 13 19:39:17 +0000 2020,Gap - France,empty,fr,lutter propagation virale moindre doute s'isole dépister rapide disponible médecin infirmier pharmacien test antigénique disponible hautes-alpes,1,,covid19
1327960582176301056,Sun Nov 15 13:04:09 +0000 2020,,empty,fr,sos officielle,1,,algerie enfance rcd transitiondemocratique tamaziγt kabylie aures mzab afrique dz
1327960587633045514,Sun Nov 15 13:04:11 +0000 2020,,empty,fr,l'antiterrorisme lâches,1,😡😠,covid19
1327960603068084225,Sun Nov 15 13:04:14 +0000 2020,,empty,fr,retrouvez invitée soir 20h revue d'actualités hebdomadaire,4,🎙,
1327960603860856832,Sun Nov 15 13:04:14 +0000 2020,castres,empty,fr,complotims vaccin efficace,1,,
1327740930280054786,Sat Nov 14 22:31:20 +0000 2020,"Haute-Normandie, France",empty,fr,france pleine crise sanitaire muselée confinée interdite manifester sénat majorité passer amendement honte,1,,lr reformedesretraites giletsjaunes covid19 stopdictaturesanitaire plandemie greatreset
1327960627588050944,Sun Nov 15 13:04:20 +0000 2020,"Poitiers, France",empty,fr,vache,1,,
1327960632029831169,Sun Nov 15 13:04:21 +0000 2020,,empty,fr,douce,1,,
1327960634059857920,Sun Nov 15 13:04:22 +0000 2020,,empty,fr,hab triche,1,😂😄🤣,
1327960639785103366,Sun Nov 15 13:04:23 +0000 2020,Châteauroux,"{'type': 'Polygon', 'coordinates': [[[1.638229, 46.774846], [1.638229, 46.829808], [1.742428, 46.829808], [1.742428, 46.774846]]]}",fr,virus continue faire victimes ehpad touchés l’implication exceptionne…,2,,covid_19
1325790595768594437,Mon Nov 09 13:21:24 +0000 2020,"ⵍⵎⵖⵔⵉⴱ, المغرب",empty,fr,laboratoire américain annonce vaccin efficace succès scientifique cache homme moncef slaoui,1,,pfizer covid19 marocain
1327960643635453952,Sun Nov 15 13:04:24 +0000 2020,,empty,fr,wow patrons considèrent salariés bétail putain surprise heureusement de…,1,,
1327960646470823937,Sun Nov 15 13:04:25 +0000 2020,République Démocratique Du Con,empty,fr,covid19 cas décès guérison novembre rdc,1,,covid19
1327960653403987968,Sun Nov 15 13:04:26 +0000 2020,"Paris, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960660026781696,Sun Nov 15 13:04:28 +0000 2020,,empty,fr,c'est dégueulasse ignoble bande salopards,1,,
1327960661415120899,Sun Nov 15 13:04:28 +0000 2020,,empty,fr,quid efficacité long terme moment l’immunité déjà,1,,covid19
1327960663399018496,Sun Nov 15 13:04:29 +0000 2020,En exil en France.,empty,fr,l’acharnement pouvoir censurer maltraiter réalisateur démontre pertinence,1,,
1327887341118251008,Sun Nov 15 08:13:07 +0000 2020,"Paris, France",empty,fr,pleine crise santé redevient priorité nationale crise sociale jette concitoyen-ne-s pauvreté jugent opportun d'allonger l'âge départ retraite,3,🤢,retraites covid19 senat
1327909274605981698,Sun Nov 15 09:40:17 +0000 2020,"Paris et Cannes, France.",empty,fr,pensait “documentaire” conneries conspirationnistes disponibles heures minutes pathétique trouvé d’autres connerie c’est inépuisable,1,,holdup
1327960681904304128,Sun Nov 15 13:04:33 +0000 2020,,empty,fr,,1,,
1327960694944358400,Sun Nov 15 13:04:36 +0000 2020,"Valras-Plage, France",empty,fr,n'a changé,1,,
1327960695183380480,Sun Nov 15 13:04:36 +0000 2020,,empty,fr,rugby asm lyon report menacé,1,,rugby top14 asmlou report covid19
1327960695544172544,Sun Nov 15 13:04:36 +0000 2020,France,empty,fr,chose tourne vraiment rond voir mal finir,1,☹,
1327960701277712384,Sun Nov 15 13:04:38 +0000 2020,"Genève, Suisse",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960714170994688,Sun Nov 15 13:04:41 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
