1327922735465500679,Sun Nov 15 10:33:46 +0000 2020,Nantes ,empty,fr,RT @jesuisskeeter: Mdrrrr on a compris que vous voulez déconfinés pour Noël y a r
1327916983271256064,Sun Nov 15 10:10:54 +0000 2020,En Riposte ... ou pas. ,empty,fr,Comment lutter contre le #coronavirus ... Vidéo du gouvernement allemand sur le #COVID19 (sous-titré en anglais). Et c'est top 👍 https://t.co/7UFCfkTFDY
1327922745406009344,Sun Nov 15 10:33:48 +0000 2020,,empty,fr,"RT @marcendeweld: ""La France, ce pays des mensonges d'Etat"". Source : un conseiller du pouvoir."
1327921786843922432,Sun Nov 15 10:30:00 +0000 2020,"France, Paris",empty,fr,#COVID19 | Totale mobilisation de la @prefpolice afin de faire respecter les mesures sanitaires en vigueur. 💪 Nous avons tous un rôle à jouer face à la propagation du virus ! Le vôtre ? Restez chez vous au maximum et limitez vos déplacements au strict minimum. https://t.co/mcSsH0sGYK
1327922762090942466,Sun Nov 15 10:33:52 +0000 2020,,empty,fr,RT @DecerebreLREM: C'est trop bien la Droite.....😂😂😂
1327922771033268226,Sun Nov 15 10:33:54 +0000 2020,Paris,empty,fr,"RT @mtehlo: Les CONNARDS, LES CONNASSES😡😡😡😡😡😡😡 https://t.co/ckCTX5NQQu"
1327922772891357184,Sun Nov 15 10:33:55 +0000 2020,"Lyon, France",empty,fr,RT @Spoklm: L’équipe de chercheurs en question : https://t.co/a6sBLQzOz2
1327603460628418561,Sat Nov 14 13:25:05 +0000 2020,"Paris, France",empty,fr,Imaginez une minute que des musulmans demandent la réouverture de leurs mosquées ou des juifs celle de leurs synagogues de cette façon la ..... ;)
1327906841939087360,Sun Nov 15 09:30:37 +0000 2020,"Paris, France",empty,fr,"🎥 [LE SAMEDI POLITIQUE]  #COVID19 : ""Lors du premier #confinement, rien n'a été fait pour préparer les hôpitaux. Certains services ont même été fermés !"" - Docteur Gérard Delépine L'émission➡ https://t.co/MKqQ3h0LaB https://t.co/df3i5zyxKY"
1327922789366575104,Sun Nov 15 10:33:59 +0000 2020,,empty,fr,RT @Seth75954208: #catholiques #musulmans  Dieu a le #COVID19  Il faut respecter la distanciation physique et mystique
